Title,ID,SYSID,NameMAC,DescriptionMAC,Status,Duration,Fre,QRCode,Modified,Created,Modified By
,"84","13","Glycol 1 ",,"1","60","120","CTP-Hệ thống lạnh NH3-Glycol 1 ","3/2/2022 8:42 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"85","13","NH3 system 1",,"1","60","120","CTP-Hệ thống lạnh NH3-NH3 system 1","3/2/2022 8:42 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"86","13","Mycom No.1 (Screw)",,"1","60","120","CTP-Hệ thống lạnh NH3-Mycom No.1 (Screw)","3/2/2022 8:42 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"87","13","Mycom No.2 (Screw)",,"1","60","120","CTP-Hệ thống lạnh NH3-Mycom No.2 (Screw)","3/2/2022 8:42 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"88","13","Glycol 2",,"1","60","120","CTP-Hệ thống lạnh NH3-Glycol 2","3/2/2022 8:42 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"89","13","NH3 system 2",,"1","60","120","CTP-Hệ thống lạnh NH3-NH3 system 2","3/2/2022 8:42 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"90","14","Bồn dầu ",,"1","60","120","CTP-Boiler-Bồn dầu","3/2/2022 8:43 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"91","14","Nước cấp vào Lò",,"1","60","120","CTP-Boiler-Nước cấp vào Lò","3/2/2022 8:43 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"92","14","Omnical",,"1","60","120","CTP-Boiler-Omnical","3/2/2022 8:43 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"93","14","Steam Out Source",,"1","60","120","CTP-Boiler-Steam Out Source","3/2/2022 8:43 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"94","15","AF1",,"1","60","240","CTP-HP AC-AF1","3/2/2022 8:43 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"95","15","AF2",,"1","60","240","CTP-HP AC-AF2","3/2/2022 8:44 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"96","15","AF3",,"1","60","240","CTP-HP AC-AF3","3/2/2022 8:44 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"97","15","AF4",,"1","60","240","CTP-HP AC-AF4","3/2/2022 8:44 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"98","16","IRN90",,"1","60","240","CTP-LP AC-IRN90","3/2/2022 8:44 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"99","16","IRN132A",,"1","60","240","CTP-LP AC-IRN132A","3/2/2022 8:44 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"100","16","IRN132B",,"1","60","240","CTP-LP AC-IRN132B","3/2/2022 8:44 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"101","17","Evaporizer N0.1",,"1","60","240","CTP-CO2 và N2-Evaporizer N0.1","3/2/2022 8:44 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"102","17","Evaporizer N0.2",,"1","60","240","CTP-CO2 và N2-Evaporizer N0.2","3/2/2022 8:45 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"103","17","Messer tank",,"1","60","240","CTP-CO2 và N2-Messer tank","3/2/2022 8:45 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"104","17","ASCO TANK",,"1","60","240","CTP-CO2 và N2-ASCO TANK","3/2/2022 8:45 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"105","17","Praxair Tank",,"1","60","240","CTP-CO2 và N2-Praxair Tank","3/2/2022 8:45 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"106","18","Chiller DAIKIN CUWD-150 CS5Y",,"1","60","240","CTP-Cooling Tower và Chiller-Chiller DAIKIN CUWD-150 CS5Y","3/2/2022 8:45 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"107","18","Chiller HITACHI RCUG80",,"1","60","240","CTP-Cooling Tower và Chiller-Chiller HITACHI RCUG80","3/2/2022 8:45 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"108","18","Chiller CARRIER 30XW0352",,"1","60","240","CTP-Cooling Tower và Chiller-Chiller CARRIER 30XW0352","3/2/2022 8:45 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"109","19","Mycom No.1  (NH3)",,"1","45","120","BNP-Hệ thống lạnh NH3-Mycom No.1 (NH3)","8/25/2021 11:52 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"110","19","Mycom No.2  (NH3)",,"1","45","120","BNP-Hệ thống lạnh NH3-Mycom No.2 (NH3)","8/25/2021 11:52 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"111","19","Mycom No.3  (NH3)",,"1","45","120","BNP-Hệ thống lạnh NH3-Mycom No.3 (NH3)","8/25/2021 11:52 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"112","19","Mycom No.4  (NH3)",,"1","45","120","BNP-Hệ thống lạnh NH3-Mycom No.4 (NH3)","8/25/2021 11:52 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"115","20","Bồn nước cấp & bồn dầu cấp  Boiler",,"1","45","120","BNP-Boiler-Bồn nước cấp & bồn dầu cấp  Boiler","8/25/2021 11:53 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"116","20","Boiler No.1",,"1","45","120","BNP-Boiler-Boiler No.1","8/25/2021 11:53 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"117","20","Boiler No.2",,"1","45","120","BNP-Boiler-Boiler No.2","8/25/2021 11:53 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"118","20","Boiler No.3",,"1","45","120","BNP-Boiler-Boiler No.3","8/25/2021 11:53 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"119","21","HP1 (CE 68)",,"1","45","120","BNP-HP AC-HP1(CE 68)","8/25/2021 11:54 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"120","21","HP2 (CE68)",,"1","45","120","BNP-HP AC-HP2(CE68)","8/25/2021 11:54 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"121","21","HP3 (CE68)",,"1","45","120","BNP-HP AC-HP3(CE68)","8/25/2021 11:54 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"122","21","HP4 (CE 46)",,"1","45","120","BNP-HP AC-HP4(CE 46)","8/25/2021 11:54 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"123","21","HP5 (CE68)",,"1","45","120","BNP-HP AC-HP5(CE68)","8/25/2021 11:54 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"124","22","LP1",,"1","45","240","BNP-LP AC-LP1","8/25/2021 11:55 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"125","22","LP2",,"1","45","240","BNP-LP AC-LP2","8/25/2021 11:55 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"126","22","LP3",,"1","45","240","BNP-LP AC-LP3","8/25/2021 11:55 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"127","22","LP4",,"1","45","240","BNP-LP AC-LP4","8/25/2021 11:55 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"128","22","LP5",,"1","45","240","BNP-LP AC-LP5","8/25/2021 11:55 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"129","23","Evaporizer N0.1",,"1","45","240","BNP-CO2 và N2-Evaporizer N0.1","8/25/2021 11:56 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"130","23","Evaporizer N0.2",,"1","45","240","BNP-CO2 và N2-Evaporizer N0.2","8/25/2021 11:56 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"131","23","Evaporizer N0.3",,"1","45","240","BNP-CO2 và N2-Evaporizer N0.3","8/25/2021 11:56 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"132","23","SPVB Tank",,"1","45","240","BNP-CO2 và N2-SPVB Tank","8/25/2021 11:56 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"133","23","Praxair Tank",,"1","45","240","BNP-CO2 và N2-Praxair Tank","8/25/2021 11:56 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"134","24","Chiller No.1 (chiller daikin)",,"1","45","480","BNP-Cooling Tower và Chiller-Chiller No.1(chiller daikin)","8/25/2021 11:58 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"135","24","Chiller No.1.1 Máy nén 1 (chiller daikin)",,"1","45","480","BNP-Cooling Tower và Chiller-Chiller No.1.1Máy nén 1(chiller daikin)","8/25/2021 11:58 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"136","24","Chiller No.1.2 Máy nén 2 (chiller daikin)",,"1","45","480","BNP-Cooling Tower và Chiller-Chiller No.1.2Máy nén 2(chiller daikin)","8/25/2021 11:58 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"137","24","Chiller No.2 (chiller daikin)",,"1","45","480","BNP-Cooling Tower và Chiller-Chiller No.2(chiller daikin)","8/25/2021 11:58 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"138","24","Chiller No.2.1 Máy nén 1 (chiller daikin)",,"1","45","480","BNP-Cooling Tower và Chiller-Chiller No.2.1Máy nén 1(chiller daikin)","8/25/2021 11:58 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"139","24","Chiller No.2.2 Máy nén 2 (chiller daikin)",,"1","45","480","BNP-Cooling Tower và Chiller-Chiller No.2.2Máy nén 2(chiller daikin)","8/25/2021 11:58 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"140","24","Cooling tower",,"1","45","240","BNP-Cooling Tower và Chiller-Cooling tower","8/28/2021 1:33 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
