Title_x,MACID,SYSID,NameMAC,DescriptionMAC,Status,Duration,Fre,QRCode_x,Modified_x,Created_x,Modified By,Title_y,PLANTID,NameSYS,DescriptionSYS,QRCode_y,Modified_y,Created_y,Title,NameP,AddressP
,61,11,WITT,,1,90,240,HMP-CO2 và N2-WITT,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,CO2 và N2,Hệ thống CO2 và N2,HMP-CO2 và N2,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,62,11,NITO 10KL,,1,90,240,HMP-CO2 và N2-NITO 10KL,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,CO2 và N2,Hệ thống CO2 và N2,HMP-CO2 và N2,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,63,11,NITO 18KL,,1,90,240,HMP-CO2 và N2-NITO 18KL,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,CO2 và N2,Hệ thống CO2 và N2,HMP-CO2 và N2,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,64,12,Chiller Mixer G,,1,90,480,HMP-Cooling Tower và Chiller-Chiller Mixer G,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,Cooling Tower và Chiller,Hệ thống lạnh Cooling Tower và Chiller,HMP-Cooling Tower và Chiller,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,65,12,Chiller khuôn SBO20,,1,90,480,HMP-Cooling Tower và Chiller-Chiller khuôn SBO20,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,Cooling Tower và Chiller,Hệ thống lạnh Cooling Tower và Chiller,HMP-Cooling Tower và Chiller,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,66,12,Chiller AHU SBO20,,1,90,480,HMP-Cooling Tower và Chiller-Chiller AHU SBO20,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,Cooling Tower và Chiller,Hệ thống lạnh Cooling Tower và Chiller,HMP-Cooling Tower và Chiller,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,67,12,Chiller HTST H,,1,90,480,HMP-Cooling Tower và Chiller-Chiller HTST H,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,Cooling Tower và Chiller,Hệ thống lạnh Cooling Tower và Chiller,HMP-Cooling Tower và Chiller,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,68,12,Chiller khuôn SBO14,,1,90,480,HMP-Cooling Tower và Chiller-Chiller khuôn SBO14,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,Cooling Tower và Chiller,Hệ thống lạnh Cooling Tower và Chiller,HMP-Cooling Tower và Chiller,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,69,12,Chiller 60HP H ngoài,,1,90,480,HMP-Cooling Tower và Chiller-Chiller 60HP H ngoài,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,Cooling Tower và Chiller,Hệ thống lạnh Cooling Tower và Chiller,HMP-Cooling Tower và Chiller,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,70,12,Chiller 120HP H,,1,90,480,HMP-Cooling Tower và Chiller-Chiller 120HP H,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,Cooling Tower và Chiller,Hệ thống lạnh Cooling Tower và Chiller,HMP-Cooling Tower và Chiller,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,71,12,Chiller 60HP Aus,,1,90,480,HMP-Cooling Tower và Chiller-Chiller 60HP Aus,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,Cooling Tower và Chiller,Hệ thống lạnh Cooling Tower và Chiller,HMP-Cooling Tower và Chiller,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
